Shipment ID,Origin Airport,Destination Airport,Shipment Weight (kg),Shipment Volume (m³),Freight Cost (USD),Mode of Transport,Carrier Name,Transit Time (hours),Temperature-Sensitive,Perishable Goods,Customs Clearance Time (hours),Weather Conditions,Day of Week,Delay Status
SHIP002705,MIA,SIN,957.69,41.65,1810.37,Air,DHL,36,Yes,No,41,Clear,Monday,Delayed
SHIP002706,ORD,CDG,972.97,12.02,1839.25,Air,FedEx,59,Yes,No,40,Clear,Sunday,On-Time
SHIP002707,SFO,HKG,645.28,31.75,1219.8,Air,Emirates Cargo,46,No,No,40,Rainy,Friday,On-Time
SHIP002708,SFO,SYD,365.96,47.83,691.79,Truck,DHL,6,Yes,No,37,Foggy,Monday,On-Time
SHIP002709,ATL,CDG,818.99,28.78,1548.18,Air,Lufthansa Cargo,45,No,No,8,Clear,Monday,On-Time
SHIP002710,LAX,NRT,98.36,39.99,185.93,Air,Lufthansa Cargo,46,No,No,18,Stormy,Saturday,On-Time
SHIP002711,SFO,NRT,297.69,36.8,562.74,Air,Lufthansa Cargo,10,No,Yes,29,Stormy,Wednesday,Delayed
SHIP002712,DFW,SYD,985.7,43.3,1863.32,Air,UPS,30,No,No,14,Clear,Wednesday,On-Time
SHIP002713,SFO,NRT,816.19,48.44,1542.88,Air,Emirates Cargo,27,No,No,28,Stormy,Thursday,Delayed
SHIP002714,SFO,DXB,940.19,1.21,1777.29,Rail,Emirates Cargo,42,Yes,No,12,Rainy,Sunday,Delayed
SHIP002715,SFO,SYD,598.85,1.49,1132.03,Rail,DHL,21,No,Yes,19,Rainy,Monday,Delayed
SHIP002716,JFK,SIN,413.6,29.76,781.85,Air,FedEx,62,No,No,19,Rainy,Wednesday,On-Time
SHIP002717,LAX,NRT,979.89,47.72,1852.33,Air,Lufthansa Cargo,55,No,No,44,Clear,Sunday,On-Time
SHIP002718,DFW,NRT,316.33,24.34,597.97,Truck,Lufthansa Cargo,49,No,No,5,Stormy,Tuesday,On-Time
SHIP002719,LAX,LHR,759.84,42.01,1436.36,Air,FedEx,29,No,No,28,Clear,Saturday,Delayed
SHIP002720,ATL,LHR,562.62,38.42,1063.55,Air,FedEx,36,No,No,29,Clear,Sunday,On-Time
SHIP002721,ATL,LHR,236.22,24.96,446.54,Air,Lufthansa Cargo,23,Yes,No,14,Foggy,Sunday,Delayed
SHIP002722,ATL,SYD,27.31,25.71,51.63,Air,FedEx,64,Yes,No,40,Rainy,Friday,On-Time
SHIP002723,MIA,SIN,389.93,21.86,737.1,Rail,UPS,15,Yes,No,44,Clear,Monday,Delayed
SHIP002724,SFO,SYD,552.21,12.68,1043.87,Rail,DHL,51,Yes,No,24,Clear,Sunday,On-Time
SHIP002725,MIA,HKG,191.36,42.95,361.74,Air,UPS,47,No,No,43,Stormy,Tuesday,Delayed
SHIP002726,JFK,SIN,420.41,10.56,794.72,Air,Lufthansa Cargo,10,No,No,38,Clear,Saturday,Delayed
SHIP002727,ATL,SIN,619.04,45.36,1170.2,Air,DHL,65,No,Yes,28,Clear,Sunday,Delayed
SHIP002728,DFW,SYD,717.77,18.05,1356.84,Truck,DHL,71,No,No,32,Stormy,Sunday,On-Time
SHIP002729,LAX,SYD,62.22,1.42,117.62,Rail,DHL,66,No,No,15,Clear,Wednesday,Delayed
SHIP002730,SFO,LHR,667.54,8.5,1261.88,Truck,Emirates Cargo,23,Yes,No,27,Clear,Wednesday,Delayed
SHIP002731,ORD,SIN,66.1,44.4,124.95,Air,Emirates Cargo,36,Yes,No,1,Clear,Saturday,Delayed
SHIP002732,DFW,LHR,37.9,6.51,71.64,Truck,DHL,35,Yes,No,8,Clear,Monday,Delayed
SHIP002733,SFO,HKG,160.89,36.96,304.14,Air,Emirates Cargo,8,No,No,38,Clear,Saturday,Delayed
SHIP002734,MIA,DXB,657.11,9.22,1242.17,Air,UPS,39,No,No,16,Clear,Friday,On-Time
SHIP002735,MIA,LHR,62.29,25,117.75,Air,Lufthansa Cargo,17,Yes,No,47,Clear,Saturday,Delayed
SHIP002736,DFW,SYD,30.69,10.34,58.01,Air,Lufthansa Cargo,43,Yes,No,1,Clear,Wednesday,Delayed
SHIP002737,MIA,NRT,126.78,16.72,239.66,Air,Lufthansa Cargo,62,No,No,20,Foggy,Monday,On-Time
SHIP002738,ATL,CDG,950.22,6.33,1796.25,Air,FedEx,7,No,Yes,10,Foggy,Tuesday,Delayed
SHIP002739,JFK,DXB,908.2,27.84,1716.81,Air,UPS,21,No,No,19,Foggy,Friday,Delayed
SHIP002740,LAX,HKG,95.6,18.35,180.72,Rail,Lufthansa Cargo,62,No,No,3,Rainy,Thursday,Delayed
SHIP002741,JFK,NRT,310.97,18.34,587.84,Air,Lufthansa Cargo,50,No,No,16,Foggy,Tuesday,On-Time
SHIP002742,SFO,SYD,947.82,2.02,1791.71,Air,Lufthansa Cargo,33,Yes,Yes,11,Clear,Friday,On-Time
SHIP002743,LAX,DXB,106.71,6.89,201.72,Air,Lufthansa Cargo,11,No,Yes,7,Rainy,Thursday,On-Time
SHIP002744,LAX,SYD,103.65,35.41,195.93,Air,Emirates Cargo,55,No,No,42,Clear,Sunday,Delayed
SHIP002745,JFK,LHR,95.14,14.69,179.85,Truck,Emirates Cargo,68,Yes,No,19,Clear,Tuesday,Delayed
SHIP002746,DFW,NRT,976.71,22.16,1846.32,Air,UPS,15,Yes,No,12,Clear,Monday,On-Time
SHIP002747,LAX,SYD,745.68,38.18,1409.59,Air,UPS,39,Yes,No,33,Clear,Sunday,On-Time
SHIP002748,JFK,NRT,222.34,22.29,420.3,Air,Lufthansa Cargo,63,No,Yes,2,Clear,Tuesday,Delayed
SHIP002749,LAX,HKG,55.49,11.36,104.9,Air,Lufthansa Cargo,32,No,No,7,Rainy,Wednesday,Delayed
SHIP002750,ORD,CDG,965.59,27.54,1825.3,Rail,Lufthansa Cargo,10,No,Yes,47,Rainy,Thursday,On-Time
SHIP002751,DFW,LHR,431.23,40.08,815.17,Truck,FedEx,20,No,No,14,Clear,Saturday,On-Time
SHIP002752,ATL,LHR,602.39,30.02,1138.73,Air,DHL,39,No,No,37,Rainy,Tuesday,Delayed
SHIP002753,LAX,NRT,286.4,21.07,541.4,Air,Emirates Cargo,10,No,No,10,Clear,Thursday,Delayed
SHIP002754,ORD,HKG,760.78,6.37,1438.14,Air,Lufthansa Cargo,19,No,No,26,Rainy,Saturday,Delayed
SHIP002755,ATL,HKG,204.83,12.51,387.2,Rail,FedEx,13,No,No,26,Clear,Friday,On-Time
SHIP002756,ATL,DXB,789.04,47.31,1491.56,Rail,FedEx,50,Yes,Yes,40,Rainy,Monday,On-Time
SHIP002757,SFO,CDG,238.3,38.61,450.47,Air,FedEx,12,Yes,No,14,Rainy,Tuesday,On-Time
SHIP002758,LAX,SYD,106.93,4.47,202.13,Truck,Emirates Cargo,37,No,No,39,Clear,Saturday,Delayed
SHIP002759,JFK,DXB,484.03,0.38,914.99,Air,DHL,30,Yes,No,24,Clear,Thursday,Delayed
SHIP002760,LAX,SYD,815.08,8.85,1540.78,Air,Lufthansa Cargo,21,Yes,No,32,Clear,Sunday,Delayed
SHIP002761,ORD,SYD,391.02,47.2,739.16,Truck,Lufthansa Cargo,15,Yes,No,40,Clear,Tuesday,Delayed
SHIP002762,ATL,SYD,38.58,29.04,72.93,Rail,DHL,30,Yes,No,12,Clear,Monday,On-Time
SHIP002763,LAX,DXB,557.78,41.95,1054.4,Air,Emirates Cargo,43,No,No,27,Rainy,Friday,On-Time
SHIP002764,JFK,LHR,683.67,23.31,1292.37,Air,FedEx,70,No,No,6,Foggy,Wednesday,On-Time
SHIP002765,SFO,HKG,743.29,41.35,1405.08,Truck,Lufthansa Cargo,56,Yes,No,28,Rainy,Saturday,On-Time
SHIP002766,LAX,LHR,407.91,1.79,771.09,Air,FedEx,15,Yes,No,23,Clear,Sunday,On-Time
SHIP002767,DFW,CDG,106.05,21.4,200.47,Air,DHL,54,Yes,No,34,Rainy,Wednesday,Delayed
SHIP002768,SFO,DXB,588.48,18.94,1112.43,Air,Lufthansa Cargo,56,No,No,30,Clear,Wednesday,On-Time
SHIP002769,JFK,CDG,336.25,49.08,635.63,Air,Lufthansa Cargo,54,No,No,35,Clear,Thursday,On-Time
SHIP002770,ORD,HKG,947.42,15.09,1790.95,Air,Lufthansa Cargo,66,No,No,17,Rainy,Thursday,On-Time
SHIP002771,ATL,HKG,507.68,20.9,959.69,Air,UPS,59,Yes,No,40,Clear,Friday,Delayed
SHIP002772,LAX,SIN,477.54,37.96,902.72,Air,DHL,37,No,No,25,Clear,Wednesday,Delayed
SHIP002773,JFK,CDG,316.12,44.05,597.58,Air,DHL,57,No,No,38,Clear,Monday,Delayed
SHIP002774,SFO,LHR,345.4,43.93,652.93,Air,FedEx,17,No,No,28,Stormy,Friday,Delayed
SHIP002775,DFW,NRT,517.63,19.79,978.5,Air,Emirates Cargo,61,No,Yes,31,Clear,Wednesday,Delayed
SHIP002776,JFK,CDG,313.6,47.43,592.81,Air,Lufthansa Cargo,56,No,No,23,Rainy,Wednesday,Delayed
SHIP002777,MIA,DXB,893.38,32.71,1688.8,Air,Lufthansa Cargo,7,No,No,3,Clear,Friday,Delayed
SHIP002778,DFW,HKG,444.63,42.57,840.51,Air,Lufthansa Cargo,19,No,No,16,Rainy,Thursday,Delayed
SHIP002779,SFO,HKG,299.1,46.32,565.4,Air,DHL,32,No,Yes,36,Clear,Wednesday,Delayed
SHIP002780,ORD,CDG,163.84,11.76,309.71,Rail,Lufthansa Cargo,43,No,No,8,Clear,Saturday,Delayed
SHIP002781,ATL,CDG,675.63,25.01,1277.18,Air,DHL,60,No,No,18,Clear,Saturday,Delayed
SHIP002782,SFO,SYD,35.53,29.43,67.16,Air,Emirates Cargo,34,No,Yes,27,Clear,Tuesday,On-Time
SHIP002783,ORD,CDG,455.5,40.14,861.05,Air,Emirates Cargo,52,Yes,No,14,Rainy,Monday,Delayed
SHIP002784,LAX,SYD,554.62,20.12,1048.42,Air,DHL,58,No,No,10,Rainy,Wednesday,On-Time
SHIP002785,JFK,DXB,346.39,10.6,654.8,Rail,Lufthansa Cargo,70,Yes,No,8,Foggy,Tuesday,Delayed
SHIP002786,MIA,DXB,752.32,37.19,1422.15,Air,DHL,68,Yes,No,4,Clear,Wednesday,Delayed
SHIP002787,DFW,LHR,678.9,29.66,1283.36,Rail,Lufthansa Cargo,61,Yes,Yes,2,Stormy,Thursday,Delayed
SHIP002788,DFW,CDG,971.68,44.93,1836.81,Rail,Lufthansa Cargo,59,No,No,47,Rainy,Wednesday,On-Time
SHIP002789,JFK,LHR,513.68,32.79,971.03,Rail,UPS,64,No,No,28,Rainy,Wednesday,Delayed
SHIP002790,MIA,NRT,542.43,0.94,1025.38,Truck,DHL,40,Yes,Yes,9,Clear,Saturday,Delayed
SHIP002791,JFK,SIN,253.38,48.34,478.98,Truck,FedEx,33,No,Yes,35,Clear,Thursday,Delayed
SHIP002792,LAX,DXB,391.63,29.7,740.32,Air,FedEx,46,No,No,20,Rainy,Monday,Delayed
SHIP002793,ORD,HKG,36.59,29.83,69.17,Air,Emirates Cargo,53,No,No,47,Clear,Monday,Delayed
SHIP002794,SFO,SYD,692.38,45.47,1308.84,Air,Lufthansa Cargo,20,No,No,46,Rainy,Wednesday,Delayed
SHIP002795,DFW,SIN,318.51,33.22,602.09,Truck,Lufthansa Cargo,37,No,No,26,Rainy,Monday,Delayed
SHIP002796,LAX,HKG,544.96,24.02,1030.16,Air,UPS,15,No,No,38,Clear,Sunday,Delayed
SHIP002797,ORD,SIN,262.44,5.45,496.1,Rail,Lufthansa Cargo,55,No,Yes,41,Clear,Monday,Delayed
SHIP002798,LAX,LHR,624.83,48.11,1181.15,Air,Emirates Cargo,66,No,No,34,Stormy,Wednesday,Delayed
SHIP002799,MIA,LHR,453.11,4.02,856.54,Air,DHL,38,Yes,No,40,Stormy,Sunday,On-Time
SHIP002800,DFW,SYD,487.04,8.6,920.68,Air,DHL,42,No,No,30,Stormy,Monday,Delayed
SHIP002801,SFO,DXB,943.18,40.99,1782.94,Rail,Emirates Cargo,63,No,Yes,47,Foggy,Monday,Delayed
SHIP002802,JFK,NRT,709.1,24.57,1340.45,Air,UPS,47,No,No,2,Clear,Thursday,On-Time
SHIP002803,JFK,SYD,269.28,9,509.03,Rail,DHL,54,No,No,22,Rainy,Monday,Delayed
SHIP002804,ORD,NRT,508.88,14.38,961.96,Air,Emirates Cargo,34,Yes,No,23,Clear,Saturday,On-Time
SHIP002805,SFO,HKG,472.01,49.7,892.26,Air,Lufthansa Cargo,24,No,No,12,Clear,Monday,Delayed
SHIP002806,ATL,SIN,797.1,29.24,1506.8,Air,DHL,19,Yes,No,12,Rainy,Wednesday,Delayed
SHIP002807,MIA,SYD,835.02,20.14,1578.48,Air,Emirates Cargo,8,No,Yes,5,Clear,Tuesday,On-Time
SHIP002808,ORD,NRT,290.61,43.82,549.35,Air,UPS,31,No,Yes,26,Clear,Sunday,Delayed
SHIP002809,ATL,CDG,822.94,24.04,1555.64,Air,DHL,40,No,No,22,Clear,Saturday,Delayed
SHIP002810,LAX,CDG,187.71,15.47,354.84,Air,UPS,38,No,No,41,Clear,Monday,Delayed
SHIP002811,MIA,DXB,765.14,8.29,1446.38,Air,FedEx,52,Yes,No,46,Clear,Saturday,On-Time
SHIP002812,LAX,NRT,256.3,37.25,484.5,Air,UPS,62,Yes,No,30,Rainy,Thursday,On-Time
SHIP002813,SFO,SYD,304.95,29.85,576.46,Truck,Emirates Cargo,25,No,No,23,Clear,Wednesday,On-Time
SHIP002814,DFW,HKG,853.94,4.71,1614.24,Air,Lufthansa Cargo,46,No,No,16,Clear,Sunday,Delayed
SHIP002815,MIA,CDG,425.87,29.62,805.04,Truck,DHL,57,No,No,44,Clear,Sunday,Delayed
SHIP002816,ATL,DXB,990.66,8.06,1872.69,Rail,UPS,25,No,No,8,Clear,Saturday,On-Time
SHIP002817,DFW,SYD,160.42,49.09,303.25,Truck,DHL,29,No,No,41,Foggy,Friday,On-Time
SHIP002818,JFK,DXB,468.72,13.06,886.04,Air,DHL,65,No,No,38,Foggy,Tuesday,On-Time
SHIP002819,ATL,HKG,735.13,34.83,1389.65,Rail,Emirates Cargo,31,Yes,No,13,Rainy,Saturday,Delayed
SHIP002820,ORD,CDG,15.31,32.84,28.94,Air,Emirates Cargo,8,No,No,32,Rainy,Saturday,On-Time
SHIP002821,JFK,CDG,160.34,34.6,303.1,Air,FedEx,64,No,No,34,Rainy,Tuesday,Delayed
SHIP002822,JFK,CDG,30.15,21.56,56.99,Truck,Lufthansa Cargo,23,No,No,47,Clear,Saturday,Delayed
SHIP002823,ORD,NRT,992.95,3.81,1877.02,Air,FedEx,21,No,No,16,Foggy,Friday,Delayed
SHIP002824,MIA,LHR,763.02,49,1442.37,Air,Emirates Cargo,65,No,No,44,Clear,Wednesday,Delayed
SHIP002825,JFK,NRT,379.82,9.66,717.99,Air,FedEx,38,Yes,Yes,17,Rainy,Friday,On-Time
SHIP002826,SFO,CDG,164.72,38.51,311.38,Air,UPS,55,Yes,No,22,Clear,Tuesday,On-Time
SHIP002827,ATL,SIN,99.48,6.96,188.05,Air,UPS,21,No,No,41,Clear,Saturday,On-Time
SHIP002828,DFW,LHR,536.59,14.13,1014.34,Rail,DHL,43,No,No,22,Foggy,Wednesday,On-Time
SHIP002829,JFK,SYD,976.13,28.04,1845.23,Air,FedEx,18,Yes,Yes,29,Clear,Friday,Delayed
SHIP002830,ATL,NRT,677.86,20.73,1281.39,Air,FedEx,20,No,No,24,Clear,Thursday,On-Time
SHIP002831,LAX,LHR,371.49,47.92,702.25,Air,Emirates Cargo,28,No,No,24,Clear,Monday,Delayed
SHIP002832,ATL,LHR,505.84,42.4,956.21,Air,FedEx,54,Yes,No,35,Clear,Tuesday,Delayed
SHIP002833,DFW,NRT,998.91,46.1,1888.29,Truck,DHL,30,No,No,28,Rainy,Friday,On-Time
SHIP002834,ATL,NRT,523.58,32.07,989.75,Air,Emirates Cargo,21,No,No,34,Clear,Wednesday,Delayed
SHIP002835,ORD,LHR,964.56,11.02,1823.35,Truck,DHL,30,Yes,Yes,42,Rainy,Sunday,Delayed
SHIP002836,DFW,DXB,26.2,25.97,49.53,Air,UPS,48,No,No,3,Clear,Tuesday,Delayed
SHIP002837,MIA,SIN,723.75,38.3,1368.14,Air,Emirates Cargo,47,Yes,Yes,22,Clear,Wednesday,Delayed
SHIP002838,LAX,HKG,630.89,3.33,1192.6,Rail,Lufthansa Cargo,61,No,No,36,Stormy,Sunday,On-Time
SHIP002839,ORD,CDG,688.48,43.17,1301.47,Truck,DHL,7,Yes,No,11,Foggy,Saturday,On-Time
SHIP002840,MIA,NRT,574.86,31.6,1086.69,Air,Lufthansa Cargo,24,No,No,46,Clear,Thursday,On-Time
SHIP002841,ATL,LHR,53.74,36.21,101.59,Air,Lufthansa Cargo,44,No,No,14,Rainy,Tuesday,Delayed
SHIP002842,DFW,HKG,158.07,34.75,298.81,Air,DHL,9,No,Yes,34,Rainy,Monday,Delayed
SHIP002843,LAX,NRT,923.03,42.4,1744.85,Air,Emirates Cargo,66,Yes,No,2,Clear,Sunday,On-Time
SHIP002844,ORD,DXB,240.6,4.47,454.82,Air,Lufthansa Cargo,29,No,No,28,Stormy,Monday,On-Time
SHIP002845,MIA,HKG,993.01,18.91,1877.13,Air,Emirates Cargo,13,No,Yes,14,Clear,Sunday,On-Time
SHIP002846,MIA,LHR,682.79,25.18,1290.71,Rail,Lufthansa Cargo,18,No,No,36,Clear,Friday,On-Time
SHIP002847,LAX,SYD,449.91,27.38,850.49,Air,DHL,15,No,No,38,Clear,Saturday,Delayed
SHIP002848,SFO,SIN,920.85,47.13,1740.73,Air,FedEx,22,Yes,Yes,41,Foggy,Saturday,On-Time
SHIP002849,ATL,HKG,797.04,2.22,1506.68,Truck,Emirates Cargo,10,No,No,45,Clear,Tuesday,On-Time
SHIP002850,LAX,NRT,434.68,43.33,821.7,Air,Lufthansa Cargo,7,No,No,18,Clear,Thursday,On-Time
SHIP002851,MIA,LHR,77.91,27.64,147.28,Air,FedEx,25,Yes,No,42,Clear,Sunday,On-Time
SHIP002852,JFK,NRT,869.62,27.78,1643.88,Air,FedEx,65,Yes,No,44,Rainy,Thursday,Delayed
SHIP002853,ORD,LHR,767.39,16.08,1450.63,Air,FedEx,45,No,No,36,Clear,Saturday,Delayed
SHIP002854,LAX,CDG,792.83,32.22,1498.72,Air,DHL,64,No,No,30,Clear,Tuesday,Delayed
SHIP002855,SFO,SYD,747.41,32.36,1412.87,Truck,DHL,38,No,No,25,Clear,Saturday,On-Time
SHIP002856,MIA,CDG,283,9.55,534.97,Air,DHL,71,Yes,Yes,43,Clear,Friday,Delayed
SHIP002857,ATL,SYD,860.26,33.88,1626.19,Rail,DHL,55,No,Yes,31,Rainy,Tuesday,Delayed
SHIP002858,MIA,SIN,12.21,13.41,23.08,Air,Emirates Cargo,40,No,No,40,Clear,Saturday,On-Time
SHIP002859,ATL,CDG,244.9,34.47,462.95,Rail,Lufthansa Cargo,39,No,No,22,Clear,Friday,Delayed
SHIP002860,LAX,SIN,56.09,30.64,106.03,Air,Emirates Cargo,67,Yes,No,36,Stormy,Monday,On-Time
SHIP002861,ATL,NRT,119.49,35.83,225.88,Rail,FedEx,63,No,Yes,25,Stormy,Friday,Delayed
SHIP002862,DFW,DXB,537.06,1.08,1015.23,Air,Lufthansa Cargo,18,No,No,21,Clear,Tuesday,On-Time
SHIP002863,DFW,DXB,46.88,6.36,88.62,Air,Lufthansa Cargo,66,No,No,39,Clear,Friday,Delayed
SHIP002864,DFW,SYD,189.57,42.03,358.35,Truck,FedEx,25,No,No,22,Clear,Sunday,On-Time
SHIP002865,SFO,SYD,240.41,19.1,454.46,Air,UPS,45,Yes,No,14,Clear,Thursday,Delayed
SHIP002866,SFO,CDG,658.79,41.85,1245.34,Air,Lufthansa Cargo,64,Yes,No,29,Rainy,Thursday,Delayed
SHIP002867,JFK,DXB,474.13,3.23,896.27,Air,Emirates Cargo,61,Yes,Yes,42,Clear,Sunday,Delayed
SHIP002868,SFO,HKG,463.83,38.49,876.8,Rail,Lufthansa Cargo,16,Yes,No,9,Clear,Sunday,Delayed
SHIP002869,LAX,HKG,770.75,4.28,1456.99,Air,FedEx,61,No,No,21,Clear,Wednesday,Delayed
SHIP002870,MIA,NRT,462.15,23.47,873.62,Air,FedEx,44,Yes,Yes,22,Stormy,Tuesday,Delayed
SHIP002871,MIA,HKG,355,46.88,671.07,Air,Emirates Cargo,14,Yes,No,11,Clear,Saturday,Delayed
SHIP002872,JFK,NRT,962.83,3.98,1820.08,Truck,FedEx,66,No,No,15,Clear,Sunday,Delayed
SHIP002873,SFO,DXB,18.21,17.6,34.42,Truck,Lufthansa Cargo,17,No,No,14,Rainy,Sunday,On-Time
SHIP002874,ATL,HKG,312.34,25.97,590.43,Air,DHL,66,No,No,17,Stormy,Sunday,On-Time
SHIP002875,JFK,SIN,613.3,44.98,1159.35,Air,Emirates Cargo,71,No,No,44,Rainy,Saturday,Delayed
SHIP002876,ATL,LHR,784.98,16.7,1483.89,Air,FedEx,46,Yes,No,25,Clear,Sunday,On-Time
SHIP002877,ATL,SYD,818.25,40.37,1546.78,Air,UPS,69,No,No,24,Clear,Sunday,On-Time
SHIP002878,ORD,CDG,55.61,35.94,105.12,Air,UPS,71,No,No,6,Clear,Friday,Delayed
SHIP002879,MIA,NRT,712.04,15.42,1346,Truck,DHL,50,No,No,6,Foggy,Thursday,On-Time
SHIP002880,DFW,SIN,723.05,17.11,1366.82,Rail,Lufthansa Cargo,41,No,No,6,Rainy,Tuesday,On-Time
SHIP002881,SFO,HKG,221.94,9.63,419.54,Air,DHL,62,Yes,Yes,25,Stormy,Sunday,Delayed
SHIP002882,ATL,LHR,121.65,34.68,229.96,Air,Lufthansa Cargo,66,No,No,20,Rainy,Saturday,On-Time
SHIP002883,ORD,CDG,752.19,28.2,1421.9,Truck,UPS,51,No,Yes,27,Stormy,Tuesday,Delayed
SHIP002884,MIA,SIN,257.01,7.83,485.84,Truck,FedEx,35,No,No,19,Stormy,Wednesday,Delayed
SHIP002885,DFW,CDG,11.66,31.04,22.04,Air,DHL,34,No,No,35,Clear,Wednesday,On-Time
SHIP002886,ATL,NRT,231.34,24.98,437.31,Air,FedEx,30,No,No,37,Rainy,Wednesday,Delayed
SHIP002887,ATL,NRT,40.76,4.72,77.05,Air,UPS,63,Yes,No,25,Clear,Sunday,Delayed
SHIP002888,JFK,SYD,256.69,47.69,485.23,Air,Lufthansa Cargo,17,Yes,Yes,12,Stormy,Wednesday,Delayed
SHIP002889,JFK,DXB,341.67,41.75,645.88,Rail,FedEx,29,No,No,15,Clear,Monday,On-Time
SHIP002890,MIA,NRT,278.69,3.64,526.82,Air,UPS,60,No,No,29,Rainy,Tuesday,On-Time
SHIP002891,DFW,HKG,920.74,46.57,1740.52,Rail,Emirates Cargo,60,No,Yes,27,Clear,Saturday,On-Time
SHIP002892,ATL,SIN,240.21,45.84,454.08,Truck,DHL,58,Yes,Yes,42,Clear,Sunday,Delayed
SHIP002893,MIA,SIN,472.86,2.2,893.87,Truck,Lufthansa Cargo,69,No,No,45,Clear,Wednesday,Delayed
SHIP002894,MIA,LHR,957.85,10.15,1810.67,Rail,Lufthansa Cargo,57,No,No,29,Stormy,Thursday,On-Time
SHIP002895,LAX,LHR,880.41,35.15,1664.28,Rail,Emirates Cargo,44,No,No,36,Clear,Friday,Delayed
SHIP002896,SFO,LHR,316.17,46.74,597.67,Air,DHL,25,No,No,34,Clear,Wednesday,On-Time
SHIP002897,JFK,CDG,333.23,41.17,629.92,Air,FedEx,31,No,No,30,Clear,Thursday,Delayed
SHIP002898,DFW,HKG,597.4,14.17,1129.29,Air,UPS,67,Yes,No,45,Clear,Sunday,On-Time
SHIP002899,ATL,CDG,918.68,1.77,1736.62,Air,UPS,32,No,No,24,Rainy,Monday,Delayed
SHIP002900,MIA,HKG,19.9,23.7,37.62,Air,FedEx,48,No,No,41,Clear,Wednesday,Delayed
SHIP002901,ATL,SIN,399.19,4.69,754.61,Rail,FedEx,46,No,No,42,Clear,Wednesday,On-Time
SHIP002902,LAX,NRT,851.28,12.34,1609.22,Air,DHL,43,No,No,43,Clear,Tuesday,Delayed
SHIP002903,DFW,NRT,416.37,32.04,787.08,Air,Emirates Cargo,62,No,Yes,15,Clear,Thursday,On-Time
SHIP002904,MIA,CDG,722.85,24.8,1366.44,Air,UPS,40,No,No,31,Foggy,Monday,Delayed
SHIP002905,ATL,CDG,695.01,18.9,1313.81,Rail,Emirates Cargo,57,No,No,34,Foggy,Friday,On-Time
SHIP002906,JFK,CDG,213.4,46.51,403.4,Truck,DHL,60,No,No,17,Clear,Thursday,On-Time
SHIP002907,SFO,DXB,455.1,9.73,860.3,Air,FedEx,52,Yes,No,2,Clear,Wednesday,Delayed
SHIP002908,LAX,SYD,570.52,24.43,1078.48,Air,UPS,48,No,Yes,32,Clear,Monday,Delayed
SHIP002909,DFW,HKG,718.31,28.72,1357.86,Air,Emirates Cargo,48,Yes,No,12,Clear,Sunday,Delayed
SHIP002910,LAX,NRT,824.17,16.16,1557.97,Air,Lufthansa Cargo,11,No,No,45,Rainy,Thursday,On-Time
SHIP002911,JFK,HKG,762.33,35.29,1441.07,Rail,UPS,41,No,No,38,Stormy,Wednesday,Delayed
SHIP002912,DFW,CDG,38.03,43.38,71.89,Air,Lufthansa Cargo,70,Yes,No,14,Foggy,Monday,On-Time
SHIP002913,LAX,DXB,673.93,27.12,1273.96,Air,Lufthansa Cargo,45,No,Yes,39,Clear,Monday,On-Time
SHIP002914,ORD,CDG,502.34,39.09,949.6,Air,Lufthansa Cargo,43,No,No,32,Clear,Thursday,On-Time
SHIP002915,JFK,HKG,578.12,3.14,1092.85,Truck,Lufthansa Cargo,40,No,Yes,9,Clear,Monday,Delayed
SHIP002916,JFK,SYD,379.24,7.77,716.9,Air,UPS,12,No,Yes,1,Clear,Sunday,Delayed
SHIP002917,JFK,NRT,716.89,23.16,1355.17,Air,Lufthansa Cargo,47,No,No,24,Clear,Friday,On-Time
SHIP002918,ORD,SYD,677.15,46.06,1280.05,Air,UPS,19,Yes,No,24,Clear,Thursday,Delayed
SHIP002919,ORD,SIN,583.69,26.63,1103.38,Air,FedEx,58,No,No,22,Clear,Friday,On-Time
SHIP002920,ATL,DXB,862.99,21.67,1631.35,Air,Emirates Cargo,10,No,No,15,Clear,Monday,Delayed
SHIP002921,MIA,SYD,110.88,30.05,209.6,Air,Emirates Cargo,55,No,No,27,Clear,Tuesday,On-Time
SHIP002922,SFO,DXB,308.01,6.31,582.25,Air,Emirates Cargo,17,No,No,4,Clear,Tuesday,Delayed
SHIP002923,LAX,CDG,500.18,32.72,945.51,Truck,FedEx,31,No,No,25,Clear,Monday,On-Time
SHIP002924,ATL,SIN,959.02,4.79,1812.88,Rail,Emirates Cargo,38,Yes,Yes,37,Rainy,Friday,Delayed
SHIP002925,LAX,HKG,81.24,28.88,153.57,Air,FedEx,55,Yes,No,8,Clear,Saturday,Delayed
SHIP002926,SFO,SYD,343.71,35.75,649.73,Air,DHL,32,No,No,42,Rainy,Sunday,Delayed
SHIP002927,MIA,SYD,926.63,20.63,1751.65,Air,UPS,39,No,No,22,Clear,Friday,On-Time
SHIP002928,ORD,LHR,898.97,45.55,1699.37,Air,DHL,24,No,No,3,Clear,Friday,Delayed
SHIP002929,MIA,NRT,866.59,7.69,1638.16,Rail,FedEx,6,No,No,43,Stormy,Tuesday,Delayed
SHIP002930,ORD,HKG,315.31,8.63,596.05,Air,Lufthansa Cargo,25,No,No,42,Clear,Sunday,Delayed
